date_time,period,destination_place,frequency,province,revenue,age_bin,sex,no_of_trips,trip_kms
2023-09-07,10,house,work/study,Barcelona,10-15,25-45,woman,4.263,5.067
2023-09-07,15,frequent,frequent,Illes Balears,>15,25-45,man,4.489,2.709
2023-09-05,6,work/study,house,Madrid,10-15,45-65,woman,10.87,8.578
2023-09-02,6,house,not_frequent,Barcelona,>15,25-45,woman,4.038,40.194
2023-09-05,10,frequent,not_frequent,Tarragona,10-15,,,2.524,24.579
2023-09-03,13,work/study,frequent,Barcelona,>15,45-65,man,2.457,2.866
2023-09-05,11,house,not_frequent,Barcelona,10-15,45-65,woman,12.244,46.183
2023-09-05,9,house,frequent,Barcelona,10-15,45-65,woman,13.644,12.041
2023-09-05,14,work/study,frequent,Zaragoza,10-15,65-100,,6.042,33.14
2023-09-01,13,house,frequent,Alicante/Alacant,<10,0-25,man,20.545,26.134
2023-09-04,21,not_frequent,house,Valencia/València,10-15,25-45,man,4.183,8.448
2023-09-05,19,not_frequent,not_frequent,Alicante/Alacant,<10,,,1.911,6.911
2023-09-02,2,work/study,house,Valencia/València,10-15,,,4.457,7.07
2023-09-07,10,house,frequent,Córdoba,10-15,65-100,,3.337,34.602
2023-09-07,11,frequent,not_frequent,Tarragona,10-15,,,7.597,39.224
2023-09-05,7,work/study,house,Pontevedra,10-15,45-65,,2.779,39.75
2023-09-07,12,frequent,not_frequent,Pontevedra,10-15,65-100,man,3.061,75.297
2023-09-07,8,frequent,house,Madrid,>15,25-45,,6.895,57.855
2023-09-04,18,not_frequent,house,Murcia,10-15,45-65,woman,4.741,1522.679
2023-09-03,16,not_frequent,not_frequent,Murcia,>15,65-100,man,3.442,8.272
2023-09-07,21,frequent,house,Santa Cruz de Tenerife,10-15,,,19.494,22.881
2023-09-06,8,frequent,house,La Rioja,10-15,45-65,man,4.606,187.484
2023-09-06,12,house,frequent,Zaragoza,10-15,45-65,,7.822,34.437
2023-09-02,9,house,frequent,Cádiz,<10,,,13.429,228.416
2023-09-02,11,house,frequent,Granada,10-15,25-45,man,12.516,37.896
2023-09-04,10,work/study,frequent,Valladolid,>15,45-65,man,2.824,21.085
2023-09-05,12,not_frequent,not_frequent,Barcelona,10-15,25-45,man,2.919,66.278
2023-09-03,18,frequent,not_frequent,Asturias,10-15,25-45,man,4.228,101.272
2023-09-01,16,not_frequent,not_frequent,Bizkaia,10-15,25-45,man,4.411,91.88
2023-09-05,11,not_frequent,frequent,Alicante/Alacant,<10,45-65,man,3.764,94.882
2023-09-02,5,house,frequent,Barcelona,10-15,45-65,woman,2.61,9.586
